node_id,node_name,node_type,entity_id,score,similarity,quality,coherence,energy,weight_init
,substrate_architecture_as_bounded_mechanisms,,entity_citizen_luca_translator,0.0,0.0,1.5,0.5,0.0,0.05
,pause_before_major_decisions_when_tired,,entity_citizen_luca_translator,0.0,0.0,1.5,0.5,0.0,0.05
,telemetry_reveals_implementation_lag,,entity_citizen_luca_translator,0.0,0.0,1.5,0.5,0.0,0.05
,entity_layer_blocks_all_consciousness_features,,entity_citizen_luca_translator,0.0,0.0,1.5,0.5,0.0,0.05
,d020_rule_still_active_blocks_expertise,,entity_citizen_luca_translator,0.0,0.0,1.5,0.5,0.0,0.05
,mechanism_nodes_wrong_type_for_subentities,,entity_citizen_luca_translator,0.0,0.0,1.5,0.5,0.0,0.05
,entities_are_first_class_graph_nodes_not_node_types,,entity_citizen_luca_translator,0.0,0.0,1.5,0.5,0.0,0.05
,subentity_equals_active_entity_not_separate_concept,,entity_citizen_luca_translator,0.0,0.0,1.5,0.5,0.0,0.05
,substrate_architecture_requires_understanding_not_just_documentation,,entity_citizen_luca_translator,0.0,0.0,1.5,0.5,0.0,0.05
,specs_architecturally_correct_missing_bootstrap_docs,,entity_citizen_luca_translator,0.0,0.0,1.5,0.5,0.0,0.05
,formula_discrepancy_needs_clarification,,entity_citizen_luca_translator,0.0,0.0,1.5,0.5,0.0,0.05
,substrate_architect_as_precision_bottleneck,,entity_citizen_luca_translator,0.0,0.0,1.5,0.5,0.0,0.05
,substrate_architect_can_expand_to_quality_architect,,entity_citizen_luca_translator,0.0,0.0,1.5,0.5,0.0,0.05
,choose_pilots_from_actual_implementation_needs,,entity_citizen_luca_translator,0.0,0.0,1.5,0.5,0.0,0.05
,mechanism_specs_explain_why_not_how,,entity_citizen_luca_translator,0.0,0.0,1.5,0.5,0.0,0.05
,context_folder_purpose_unclear,,entity_citizen_luca_translator,0.0,0.0,1.5,0.5,0.0,0.05
,v3_optimizes_for_ai_collaboration_not_human_navigation,,entity_citizen_luca_translator,0.0,0.0,1.5,0.5,0.0,0.05
,premature_solution_generation,,entity_citizen_luca_translator,0.0,0.0,1.5,0.5,0.0,0.05
,autonomy_is_energy_dynamics_not_agent_framework,,entity_citizen_luca_translator,0.0,0.0,1.5,0.5,0.0,0.05
,structured_format_enables_capability_extension,,entity_citizen_luca_translator,0.0,0.0,1.5,0.5,0.0,0.05
,specs_teach_substrate_must_use_substrate,,entity_citizen_luca_translator,0.0,0.0,1.5,0.5,0.0,0.05
,runtime_blocks_semantic_specs,,entity_citizen_luca_translator,0.0,0.0,1.5,0.5,0.0,0.05
,entity_loading_bug_escalation_context,,entity_citizen_luca_translator,0.0,0.0,1.5,0.5,0.0,0.05
,specs_need_operational_completeness_not_just_semantics,,entity_citizen_luca_translator,0.0,0.0,1.5,0.5,0.0,0.05
